StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I think the system is easy to use.,I would imagine that most people would learn to use this system very quickly.,I find using this application a pleasing way to perceive information.,I would be comfortable using my phone to explore more while visiting a historical site.,My phone is distracting me from enjoying my visit.,I feel more immersive without having to use my phone.,I think that I would like to use this system frequently.,Choose the picture that best describes how connected you feel to the introduction text of the statue (other = the introduction text of the statue).
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID4""}","{""ImportId"":""QID11""}"
2020-01-17 06:24:27,2020-01-17 06:32:13,IP Address,*******,100,466,True,2020-01-17 06:32:15,R_VLr0s97jeMljK81,*******,*******,*******,*******,*******,*******,anonymous,EN,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4
2020-01-17 06:26:19,2020-01-17 06:32:38,IP Address,*******,100,379,True,2020-01-17 06:32:47,R_2wvNBudQjXFK4UD,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,2
2020-01-17 06:25:58,2020-01-17 06:33:57,IP Address,*******,100,478,True,2020-01-17 06:33:57,R_RCseK16TKosdUlj,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,1
2020-01-17 06:26:23,2020-01-17 06:34:34,IP Address,*******,100,490,True,2020-01-17 06:34:34,R_2VHEKatqdGfQbRD,*******,*******,*******,*******,*******,*******,anonymous,EN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,1
2020-01-17 06:26:16,2020-01-17 06:35:04,IP Address,*******,100,528,True,2020-01-17 06:35:04,R_1dh4iPKAGp734T4,*******,*******,*******,*******,*******,*******,anonymous,EN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,1
2020-01-17 06:26:21,2020-01-17 06:35:06,IP Address,*******,100,525,True,2020-01-17 06:35:07,R_3qkRYyHvrumqjI1,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2
2020-01-17 06:28:16,2020-01-17 06:35:27,IP Address,*******,100,431,True,2020-01-17 06:35:27,R_3HvmGqUkqJ6HOMV,*******,*******,*******,*******,*******,*******,anonymous,EN,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4
2020-01-17 06:04:57,2020-01-17 06:36:57,IP Address,*******,100,1919,True,2020-01-17 06:37:10,R_307tyQn28U7dTU5,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,4
2020-01-17 05:28:37,2020-01-17 06:37:24,IP Address,*******,100,4126,True,2020-01-17 06:37:35,R_2BwJwPjgbLrU3wU,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2
2020-01-17 06:26:31,2020-01-17 06:40:32,IP Address,*******,100,841,True,2020-01-17 06:40:34,R_0MWYgVdZFW34XVn,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,5
2020-01-19 04:43:35,2020-01-19 05:54:38,IP Address,*******,100,4262,True,2020-01-19 05:54:38,R_Qgjr7kNMBBTJg1X,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,2
2020-01-19 05:52:41,2020-01-19 05:54:44,IP Address,*******,100,123,True,2020-01-19 05:54:45,R_sGsv40F6vaAwjhT,*******,*******,*******,*******,*******,*******,anonymous,EN,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4
2020-01-19 05:59:09,2020-01-19 06:00:02,IP Address,*******,100,53,True,2020-01-19 06:00:03,R_3Kqs11PREcJmNpQ,*******,*******,*******,*******,*******,*******,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,5
2020-01-19 06:08:35,2020-01-19 06:10:08,IP Address,*******,100,92,True,2020-01-19 06:10:10,R_pAhHgmPSl0FHm6t,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2
